_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
4938,1071,11070056,St Paul Catholic Elementary School,,ES,Toronto Catholic District School Board,80 Sackville St,English Separate,11070056,80,Sackville St,80 Sackville St,M5A 3E5,former Toronto,Toronto,St. Paul,102003,14661318,80,,,,4353,315936.842,4834847.796,43.65549752,-79.36173742,"{u'type': u'Point', u'coordinates': (-79.3617341875, 43.6554889408)}"
4939,1072,825426,St Pius X Catholic Elementary School,,ES,Toronto Catholic District School Board,71 Jane St,English Separate,825426,71,Jane St,71 Jane St,M6S 3Y3,former Toronto,Toronto,St. Pius X Catholic School,102003,1145511,71,,,,694,306017.251,4834370.863,43.6512858,-79.4847166,"{u'type': u'Point', u'coordinates': (-79.4847133387, 43.6512772233)}"
4940,1073,518696,St Raphael Catholic Elementary School,,ES,Toronto Catholic District School Board,3 Gade Dr,English Separate,518696,3,Gade Dr,3 Gade Dr,M3M 2K2,North York,Toronto,St. Raphael Catholic School,102003,444040,3,,,,5656,305711.776,4842956.631,43.72856993,-79.48849022,"{u'type': u'Point', u'coordinates': (-79.4884869452, 43.7285613409)}"
4941,1074,2448028,St Raymond Catholic Elementary School,,ES,Toronto Catholic District School Board,270 Barton Ave,English Separate,2448028,270,Barton Ave,270 Barton Ave,M6G 1R4,former Toronto,Toronto,St. Raymond Catholic School,102003,30096532,270,,,,2954,310992.76,4836003.973,43.66595353,-79.42301516,"{u'type': u'Point', u'coordinates': (-79.4230151587, 43.6659535224)}"
4942,1075,375269,St Rene Goupil Catholic Elementary School,,ES,Toronto Catholic District School Board,44 Port Royal Trl,English Separate,375269,44,Port Royal Trl,44 Port Royal Trl,M1V 2G8,Scarborough,Toronto,St. Rene Goupil Catholic School,102003,103481,44,,,,8721,321813.61,4853064.321,43.81935698,-79.28830635,"{u'type': u'Point', u'coordinates': (-79.2883031244, 43.8193483615)}"
4943,1076,6408660,St Richard Catholic Elementary School,,ES,Toronto Catholic District School Board,960 Bellamy Rd N,English Separate,6408660,960,Bellamy Rd N,960 Bellamy Rd N,M1H 1H1,Scarborough,Toronto,St. Richard Catholic School,102003,108383,960,,,,7313,325693.923,4847412.02,43.76838155,-79.24028659,"{u'type': u'Point', u'coordinates': (-79.2402833917, 43.7683729377)}"
4944,1077,11405331,St Rita Catholic Elementary School,,ES,Toronto Catholic District School Board,178 Edwin Ave,English Separate,11405331,178,Edwin Ave,178 Edwin Ave,M6P 3Z9,former Toronto,Toronto,St. Rita Catholic School,102003,11405270,178,,,,3375,308296.467,4836022.188,43.66614335,-79.45645159,"{u'type': u'Point', u'coordinates': (-79.4564483358, 43.6661347664)}"
4945,1078,485543,St Robert Catholic Elementary School,,ES,Toronto Catholic District School Board,70 Bainbridge Ave,English Separate,485543,70,Bainbridge Ave,70 Bainbridge Ave,M3H 2K2,North York,Toronto,St. Robert Catholic School,102001,441352,70,,,,4862,309282.582,4845301.735,43.74966613,-79.44414844,"{u'type': u'Point', u'coordinates': (-79.4441451837, 43.7496575318)}"
4946,1079,10430603,St Roch Catholic Elementary School,,ES,Toronto Catholic District School Board,174 Duncanwoods Dr,English Separate,10430603,174,Duncanwoods Dr,174 Duncanwoods Dr,M9L 2E3,North York,Toronto,St. Roch's Catholic School,102003,10430565,174,,,,5456,299409.012,4845752.45,43.75371657,-79.56675302,"{u'type': u'Point', u'coordinates': (-79.5667497159, 43.7537079717)}"
4947,1080,354417,St Rose of Lima Catholic Elementary School,,ES,Toronto Catholic District School Board,3220 Lawrence Ave E,English Separate,354417,3220,Lawrence Ave E,3220 Lawrence Ave E,M1H 1A4,Scarborough,Toronto,St. Rose Of Lima Catholic School,102003,30061518,3220,,,,3828,325675.408,4846202.061,43.75748239,-79.24055993,"{u'type': u'Point', u'coordinates': (-79.2405599229, 43.7574823909)}"
4948,1081,9638114,St Sebastian Catholic Elementary School,,ES,Toronto Catholic District School Board,717 Brock Ave,English Separate,9638114,717,Brock Ave,717 Brock Ave,M6H 3P1,former Toronto,Toronto,St. Sebastian Catholic School,102003,14012744,717,,,,3066,309629.183,4835648.743,43.66277473,-79.43992972,"{u'type': u'Point', u'coordinates': (-79.4399264681, 43.6627661509)}"
4949,1082,565947,St Simon Catholic Elementary School,,ES,Toronto Catholic District School Board,24 Strathburn Blvd,English Separate,565947,24,Strathburn Blvd,24 Strathburn Blvd,M9M 2K3,North York,Toronto,,102001,445303,24,,,,6808,302126.254,4841884.812,43.71890861,-79.53298735,"{u'type': u'Point', u'coordinates': (-79.5329873488, 43.7189086088)}"
4950,1083,1003707,St Stephen Catholic Elementary School,,ES,Toronto Catholic District School Board,55 Golfdown Dr,English Separate,1003707,55,Golfdown Dr,55 Golfdown Dr,M9W 2H8,Etobicoke,Toronto,St. Stephen,102003,907698,55,,,,1690,300397.414,4842220.519,43.72193063,-79.55444917,"{u'type': u'Point', u'coordinates': (-79.5544458787, 43.7219220406)}"
4951,1084,386354,St Sylvester Catholic Elementary School,,ES,Toronto Catholic District School Board,260 Silver Springs Blvd,English Separate,386354,260,Silver Springs Blvd,260 Silver Springs Blvd,M1V 1S4,Scarborough,Toronto,St. Sylvester Catholic School,102003,104551,260,,,,8952,320695.659,4851507.312,43.805367,-79.30224962,"{u'type': u'Point', u'coordinates': (-79.3022463993, 43.8053583872)}"
4952,1085,352125,St Theresa Shrine Catholic Elementary School,,ES,Toronto Catholic District School Board,2665 Kingston Rd,English Separate,352125,2665,Kingston Rd,2665 Kingston Rd,M1M 1M2,Scarborough,Toronto,St. Theresa Shrine,102003,112019,2665,,,,3786,325535.514,4841552.887,43.71564646,-79.24247879,"{u'type': u'Point', u'coordinates': (-79.2424755892, 43.7156378599)}"
4953,1086,8571075,St Thomas Aquinas Catholic Elementary School,,ES,Toronto Catholic District School Board,636 Glenholme Ave,English Separate,8571075,636,Glenholme Ave,636 Glenholme Ave,M6E 3G9,York,Toronto,St. Thomas Aquinas Catholic School,102003,8570974,636,,,,615,309157.631,4839328.319,43.69589829,-79.44574704,"{u'type': u'Point', u'coordinates': (-79.4457437831, 43.6958897058)}"
4954,1087,9234029,St Thomas More Catholic Elementary School,,ES,Toronto Catholic District School Board,2300 Ellesmere Rd,English Separate,9234029,2300,Ellesmere Rd,2300 Ellesmere Rd,M1G 3M7,Scarborough,Toronto,St. Thomas More,102003,9234028,2300,,,,7835,326883.963,4848563.523,43.77871194,-79.22545809,"{u'type': u'Point', u'coordinates': (-79.2254548966, 43.7787033255)}"
