_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
3868,1,7963754,Avondale Public School,,EP,Toronto District School Board,25 Bunty Lane,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,314026.623,4848287.934,43.77650206,-79.38518999,"{u'type': u'Point', u'coordinates': (-79.3851867443, 43.776493457)}"
3869,2,7315504,Avondale Secondary Alternative School,,EP,Toronto District School Board,24 Silverview Dr,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,102001,7315505,24,,,,6720,311879.691,4849375.563,43.78631511,-79.41184641,"{u'type': u'Point', u'coordinates': (-79.4118431542, 43.7863065106)}"
3870,3,20258267,AYJ Global Academy,,PR,,4 Lansing Sq,Priv,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,104008,438287,4,,,,6007,318854.727,4848028.516,43.77409117,-79.32521964,"{u'type': u'Point', u'coordinates': (-79.3252164121, 43.7740825707)}"
3871,4,7102999,Bais Brucha School,,PR,,3077 Bathurst St,Priv,7102999,3077,Bathurst St,3077 Bathurst St,M6A 1Z9,North York,Toronto,,104008,7102975,3077,,,,436,310459.388,4841999.775,43.71993598,-79.42957024,"{u'type': u'Point', u'coordinates': (-79.4295669915, 43.7199273887)}"
3872,5,9171677,Bais Chaya Mushka Elementary School,,PR,,4375 Chesswood Dr,Priv,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,115001,9171675,4375,,,,5187,306600.741,4846528.168,43.76071682,-79.47744525,"{u'type': u'Point', u'coordinates': (-79.4774419814, 43.7607082264)}"
3873,6,487179,Bais Chomesh High School for Girls,,PR,,3600 Bathurst St,Priv,487179,3600,Bathurst St,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,109001,443540,3600,,,,436,310175.573,4843242.529,43.73112439,-79.4330802,"{u'type': u'Point', u'coordinates': (-79.4330769431, 43.7311158004)}"
3874,7,559733,Bais Yaakov Elementary School,,PR,,15 Saranac Blvd,Priv,559733,15,Saranac Blvd,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,102001,444794,15,,,,6657,310273.736,4842166.471,43.72142926,-79.43186945,"{u'type': u'Point', u'coordinates': (-79.4318694439, 43.7214292567)}"
3875,8,325461,Baitul Mukarram Academy School,,PR,,3334 Danforth Ave,Priv,325461,3334,Danforth Ave,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,,104008,112943,3334,,,,86,322668.431,4839110.743,43.69373881,-79.27814103,"{u'type': u'Point', u'coordinates': (-79.2781378251, 43.6937302132)}"
3876,9,9848255,Bala Avenue Community School,,EP,Toronto District School Board,6 Bala Ave,English Public,9848255,6,Bala Ave,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,102001,9848256,6,,,,428,304863.781,4838612.904,43.6894708,-79.49901555,"{u'type': u'Point', u'coordinates': (-79.4990122716, 43.6894622238)}"
3877,10,7667200,Balmy Beach Community School,,EP,Toronto District School Board,14 Pine Ave,English Public,7667200,14,Pine Ave,14 Pine Ave,M4E 1L6,former Toronto,Toronto,Balmy Beach Community Recreation Centre - Building Grounds,106007,14673229,14,,,,4190,321731.021,4837186.996,43.67643591,-79.28982694,"{u'type': u'Point', u'coordinates': (-79.2898269415, 43.6764359195)}"
3878,11,486277,Bannockburn School,,PR,,12 Bannockburn Ave,Priv,486277,12,Bannockburn Ave,12 Bannockburn Ave,M5M 2M8,North York,Toronto,,102001,443339,12,,,,4880,311060.382,4843566.259,43.73403159,-79.42209327,"{u'type': u'Point', u'coordinates': (-79.4220900215, 43.7340229972)}"
3879,12,338836,Banting and Best Public School,,EP,Toronto District School Board,380 Goldhawk Trl,English Public,338836,380,Goldhawk Trl,380 Goldhawk Trl,M1V 4E7,Scarborough,Toronto,Banting & Best Public School,102001,103029,380,,,,7999,322467.285,4853878.786,43.8266729,-79.28015374,"{u'type': u'Point', u'coordinates': (-79.2801505227, 43.8266642817)}"
3880,13,514037,Bay School of Canada,,PR,,245 Fairview Mall Dr,Priv,514037,245,Fairview Mall Dr,245 Fairview Mall Dr,M2J 4T1,North York,Toronto,,104008,437784,245,,,,5548,317513.592,4848653.137,43.77973766,-79.34186462,"{u'type': u'Point', u'coordinates': (-79.3418613935, 43.7797290542)}"
3881,14,487550,Baycrest Public School,,EP,Toronto District School Board,145 Baycrest Ave,English Public,487550,145,Baycrest Ave,145 Baycrest Ave,M6A 1W4,North York,Toronto,Baycrest Public School,102001,444124,145,,,,4905,309275.696,4842740.799,43.72661437,-79.44425476,"{u'type': u'Point', u'coordinates': (-79.4442515074, 43.7266057772)}"
3882,15,11414990,Bayview Glen,,PR,,85 Moatfield Dr,Priv,11414990,85,Moatfield Dr,85 Moatfield Dr,M3B 3L6,North York,Toronto,,115001,11415001,85,,,,6235,316714.948,4846352.372,43.75904116,-79.35183691,"{u'type': u'Point', u'coordinates': (-79.3518336806, 43.7590325568)}"
3883,16,4833178,Bayview Glen Independent School,,PR,,275 Duncan Mill Road,Priv,4833178,275,Duncan Mill Rd,275 Duncan Mill Rd,M3B 3H9,North York,Toronto,,104008,30005251,275,,,,5455,316748.728,4846560.865,43.76091729,-79.35141286,"{u'type': u'Point', u'coordinates': (-79.3514096245, 43.7609086818)}"
3884,17,7963754,Bayview Middle School,,EP,Toronto District School Board,25 Bunty Lane,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,314026.623,4848287.934,43.77650206,-79.38518999,"{u'type': u'Point', u'coordinates': (-79.3851867443, 43.776493457)}"
3885,18,7586388,Beach Hebrew Institute Synagogue and School,,PR,,109 Kenilworth Ave,Priv,7586388,109,Kenilworth Ave,109 Kenilworth Ave,M4L 3S4,former Toronto,Toronto,,109001,14676088,109,,,,3763,320795.1,4836393.098,43.66931924,-79.30146062,"{u'type': u'Point', u'coordinates': (-79.301457404, 43.6693106513)}"
3886,19,876040,Beaches Alternative Jr School,,EP,Toronto District School Board,50 Swanwick Ave,English Public,876040,50,Swanwick Ave,50 Swanwick Ave,M4E 1Z5,former Toronto,Toronto,Kimberly Public School Junior,102001,14016131,50,,,,4519,320979.398,4837872.185,43.68262856,-79.29913109,"{u'type': u'Point', u'coordinates': (-79.299127884, 43.6826199723)}"
3887,20,7640837,Beacon of Light Private Elementary School,,PR,,2191 Gerrard St E,Priv,7640837,2191,Gerrard St E,2191 Gerrard St E,M4E 2C6,former Toronto,Toronto,,100001,7640834,2191,,,,3495,320842.068,4837976.335,43.68356898,-79.30083127,"{u'type': u'Point', u'coordinates': (-79.3008280647, 43.6835603974)}"
3888,21,1019694,Beaumonde Heights Jr Middle School,,EP,Toronto District School Board,70 Monterrey Dr,English Public,1019694,70,Monterrey Dr,70 Monterrey Dr,M9V 1T1,Etobicoke,Toronto,Beaumonde Heights Public School,102001,906829,70,,,,2134,298700.784,4844558.719,43.74296573,-79.57553384,"{u'type': u'Point', u'coordinates': (-79.5755305356, 43.7429571366)}"
3889,22,7792874,Bedford Park Public School,,EP,Toronto District School Board,81 Ranleigh Ave,English Public,7792874,81,Ranleigh Ave,81 Ranleigh Ave,M4N 1X2,former Toronto,Toronto,Bedford Park Community Centre - Building Grounds,106007,7792835,81,,,,4253,312838.442,4842882.932,43.7278547,-79.40002762,"{u'type': u'Point', u'coordinates': (-79.4000276204, 43.7278547019)}"
3890,23,312976,Bellmere Jr Public School,,EP,Toronto District School Board,470 Brimorton Dr,English Public,312976,470,Brimorton Dr,470 Brimorton Dr,M1H 2E6,Scarborough,Toronto,Bellmere Junior Public School,102001,108018,470,,,,7437,326106.186,4847812.86,43.77197789,-79.23515007,"{u'type': u'Point', u'coordinates': (-79.2351468752, 43.7719692864)}"
3891,24,386802,Ben Heppner Vocal Music Academy,,EP,Toronto District School Board,80 Slan Ave,English Public,386802,80,Slan Ave,80 Slan Ave,M1G 3B5,Scarborough,Toronto,Heather Heights Junior Public School,102001,107600,80,,,,8966,327721.347,4848172.24,43.77516449,-79.21507191,"{u'type': u'Point', u'coordinates': (-79.2150687264, 43.7751558784)}"
3892,25,2820831,Bendale Business and Technical Institute,,EP,Toronto District School Board,1555 Midland Ave,English Public,2820831,1555,Midland Ave,1555 Midland Ave,M1P 3C1,Scarborough,Toronto,Bendale BTI,102002,2820380,1555,,,,8496,323728.787,4845958.239,43.75534836,-79.26474629,"{u'type': u'Point', u'coordinates': (-79.2647430888, 43.7553397581)}"
3893,26,307066,Bendale Jr Public School,,EP,Toronto District School Board,61 Benshire Dr,English Public,307066,61,Benshire Dr,61 Benshire Dr,M1H 1M4,Scarborough,Toronto,Bendale Junior Public School,102001,108929,61,,,,7343,325325.806,4846765.882,43.76257573,-79.24488345,"{u'type': u'Point', u'coordinates': (-79.2448802576, 43.7625671184)}"
3894,27,2945619,Bennington Heights Elementary School,,EP,Toronto District School Board,76 Bennington Heights Dr,English Public,2945619,76,Bennington Heights Dr,76 Bennington Heights Dr,M4G 1B1,East York,Toronto,Bennington Heights School,102001,2945649,76,,,,30,315299.554,4839112.214,43.69389105,-79.36955587,"{u'type': u'Point', u'coordinates': (-79.3695526334, 43.6938824574)}"
3895,28,3563886,Berkeley Academy of Canada,,PR,,5734 Yonge St,Priv,3563886,5734,Yonge St,5734 Yonge St,M2M 4E7,North York,Toronto,,104008,3563885,5734,,,,4733,311476.256,4848980.483,43.78276271,-79.41686385,"{u'type': u'Point', u'coordinates': (-79.416860598, 43.7827541057)}"
3896,29,307348,Berner Trail Jr Public School,,EP,Toronto District School Board,120 Berner Trl,English Public,307348,120,Berner Trl,120 Berner Trl,M1B 1B3,Scarborough,Toronto,Berner Trail Junior Public School,106007,104808,120,,,,7349,327205.701,4851104.136,43.80157071,-79.22135576,"{u'type': u'Point', u'coordinates': (-79.2213525666, 43.801562088)}"
3897,30,17935,Bessborough Drive Elementary and Middle School,,EP,Toronto District School Board,211 Bessborough Dr,English Public,17935,211,Bessborough Dr,211 Bessborough Dr,M4G 3K2,East York,Toronto,Bessborough Drive Public School,102001,605,211,,,,33,315250.265,4840593.233,43.70722333,-79.37013844,"{u'type': u'Point', u'coordinates': (-79.3701352032, 43.7072147379)}"
3898,31,535998,Beth Jacob High School for Girls,,PR,,410 Lawrence Ave W,Priv,535998,410,Lawrence Ave W,410 Lawrence Ave W,M5M 1C2,North York,Toronto,,102001,444785,410,,,,732,310927.134,4842096.484,43.72080268,-79.42376402,"{u'type': u'Point', u'coordinates': (-79.4237607657, 43.7207940844)}"
3899,32,555173,Beth Radom Congregation and Hebrew School,,PR,,18 Reiner Road,Priv,555173,18,Reiner Rd,18 Reiner Rd,M3H 2K9,North York,Toronto,Beth Radom Congregation,109001,441051,18,,,,6526,309694.787,4845598.073,43.75233105,-79.4390274,"{u'type': u'Point', u'coordinates': (-79.4390241448, 43.7523224478)}"
3900,33,8608492,Beth Sholom Synagogue Congregational School,,PR,,1445 Eglinton Ave W,Priv,8608492,1445,Eglinton Ave W,1445 Eglinton Ave W,M6C 2E6,York,Toronto,Beth Sholom Synagogue,109001,8608491,1445,,,,571,309804.937,4839572.912,43.69809586,-79.43771456,"{u'type': u'Point', u'coordinates': (-79.4377113046, 43.6980872809)}"
3901,34,520627,Beth Torah Congregation and Hebrew School,,PR,,47 Glenbrook Ave,Priv,520627,47,Glenbrook Ave,47 Glenbrook Ave,M6B 2L7,North York,Toronto,Beth Torah Synagogue,109001,446062,47,,,,5696,308650.76,4840820.31,43.70933113,-79.45202471,"{u'type': u'Point', u'coordinates': (-79.4520214471, 43.7093225468)}"
3902,35,8855298,Beth Tzedec Congregational School,,PR,,1700 Bathurst St,Priv,8855298,1700,Bathurst St,1700 Bathurst St,M5P 3K3,York,Toronto,Beth Tzedec Synagogue,109001,8855299,1700,,,,436,310876.417,4839283.338,43.6954813,-79.4244248,"{u'type': u'Point', u'coordinates': (-79.4244215435, 43.6954727096)}"
3903,36,363593,Bethune International Academy,,PR,,3838 Midland Ave,Priv,363593,3838,Midland Ave,3838 Midland Ave,M1V 5K5,Scarborough,Toronto,,107005,103479,3838,,,,8496,321295.573,4853069.24,43.81941287,-79.29474598,"{u'type': u'Point', u'coordinates': (-79.2947427603, 43.8194042587)}"
3904,37,11485082,Bethune Memorial School,,PR,,3000 Lawrence Ave E,Priv,11485082,3000,Lawrence Ave E,3000 Lawrence Ave E,M1P 2V1,Scarborough,Toronto,,115001,11485062,3000,,,,3828,324948.189,4845958.018,43.75531448,-79.24960344,"{u'type': u'Point', u'coordinates': (-79.2496002394, 43.7553058764)}"
3905,38,570175,Beverley Heights Middle School,,EP,Toronto District School Board,26 Troutbrooke Dr,English Public,570175,26,Troutbrooke Dr,26 Troutbrooke Dr,M3M 1S5,North York,Toronto,Beverly Heights Middle School,102001,443483,26,,,,6946,304399.894,4843452.417,43.73303319,-79.50477501,"{u'type': u'Point', u'coordinates': (-79.5047717197, 43.733024597)}"
3906,39,6350055,Beverley School,,EP,Toronto District School Board,64 Baldwin St,English Public,6350055,64,Baldwin St,64 Baldwin St,M5T 1L4,former Toronto,Toronto,Beverley Public School,115001,1144586,64,,,,2938,313196.655,4834874.475,43.65577382,-79.39570834,"{u'type': u'Point', u'coordinates': (-79.3957051034, 43.6557652369)}"
3907,40,307817,Beverly Glen Jr Public School,,EP,Toronto District School Board,85 Beverly Glen Blvd,English Public,307817,85,Beverly Glen Blvd,85 Beverly Glen Blvd,M1W 1W4,Scarborough,Toronto,Beverly Glen Junior Public School,102001,14229540,85,,,,7356,319021.936,4850758.614,43.79866171,-79.32307086,"{u'type': u'Point', u'coordinates': (-79.3230676299, 43.7986530999)}"
3908,41,14615528,Bialik Hebrew Day School,,PR,,2760 Bathurst St,Priv,14615528,2760,Bathurst St,2760 Bathurst St,M6B 3A1,North York,Toronto,,102005,8985217,2760,,,,436,310576.632,4840975.471,43.71071502,-79.42812614,"{u'type': u'Point', u'coordinates': (-79.4281228877, 43.7107064289)}"
3909,42,772989,Bickford Centre,,EP,Toronto District School Board,777 Bloor St W,English Public,772989,777,Bloor St W,777 Bloor St W,M6G 1L6,former Toronto,Toronto,Bickford Center,102002,30039622,777,,,,458,311249.712,4835612.771,43.66242998,-79.41983402,"{u'type': u'Point', u'coordinates': (-79.4198340161, 43.6624299849)}"
3910,43,343964,Birch Cliff Heights Public School,,EP,Toronto District School Board,120 Highview Ave,English Public,343964,120,Highview Ave,120 Highview Ave,M1N 2J1,Scarborough,Toronto,Birch Cliff Heights Public School,102001,112688,120,,,,9828,324142.669,4840004.865,43.70174999,-79.25981983,"{u'type': u'Point', u'coordinates': (-79.2598166248, 43.7017413938)}"
3911,44,351953,Birch Cliff Public School,,EP,Toronto District School Board,1650 Kingston Rd,English Public,351953,1650,Kingston Rd,1650 Kingston Rd,M1N 1S2,Scarborough,Toronto,Birch Cliff Public School,102001,113039,1650,,,,3786,323682.151,4838920.058,43.69199732,-79.26557182,"{u'type': u'Point', u'coordinates': (-79.2655686243, 43.6919887242)}"
3912,45,7156751,Birchas Shmuel Private School,,PR,,465 Patricia Ave,Priv,7156751,465,Patricia Ave,465 Patricia Ave,M2R 2N1,North York,Toronto,Synagogue,109001,7156868,465,,,,6386,309290.857,4849126.685,43.78409531,-79.44401399,"{u'type': u'Point', u'coordinates': (-79.444010726, 43.7840867068)}"
3913,46,325504,Birchmount Park Collegiate Institute,,EP,Toronto District School Board,3663 Danforth Ave,English Public,325504,3663,Danforth Ave,3663 Danforth Ave,M1N 2G2,Scarborough,Toronto,Birchmount Park Collegiate Institute,102002,112815,3663,,,,86,324173.147,4839561.861,43.69776162,-79.25945772,"{u'type': u'Point', u'coordinates': (-79.2594545254, 43.6977530295)}"
3914,47,13503328,Birmingham Academy,,PR,,201 Consumers Rd,Priv,13503328,201,Consumers Rd,201 Consumers Rd,M2J 4G8,North York,Toronto,,104008,438551,201,,,,5264,318289.039,4847807.243,43.77210998,-79.3322521,"{u'type': u'Point', u'coordinates': (-79.3322488675, 43.7721013757)}"
3915,48,800729,Birmingham International Collegiate of Canada,,PR,,90 Eglinton Ave W,Priv,800729,90,Eglinton Ave W,90 Eglinton Ave W,M4R 2E4,former Toronto,Toronto,,104008,1138348,90,,,,571,312749.297,4840504.063,43.70645117,-79.40117233,"{u'type': u'Point', u'coordinates': (-79.4011690846, 43.7064425727)}"
3916,49,10142921,Bishop Allen Academy,,ES,Toronto Catholic District School Board,721 Royal York Road,English Separate,10142921,721,Royal York Rd,721 Royal York Rd,M8Y 2T3,Etobicoke,Toronto,Bishop Allen Academy,102004,10142922,721,,,,2413,304423.768,4832498.912,43.63443649,-79.50446795,"{u'type': u'Point', u'coordinates': (-79.5044646881, 43.6344279206)}"
3918,51,9638444,Bishop Marrocco Thomas Merton Catholic Secondary School,,ES,Toronto Catholic District School Board,1515 Bloor St W,English Separate,9638444,1515,Bloor St W,1515 Bloor St W,M6P 1A3,former Toronto,Toronto,Bishop Marrocco/Thomas Merton C S,102004,9638443,1515,,,,458,308671.405,4834880.699,43.65586641,-79.45181097,"{u'type': u'Point', u'coordinates': (-79.4518077137, 43.6558578336)}"
3919,52,834715,Bishop Strachan School,,PR,,298 Lonsdale Rd,Priv,834715,298,Lonsdale Rd,298 Lonsdale Rd,M4V 1X2,former Toronto,Toronto,,102001,1139289,298,,,,3870,312093.964,4838714.911,43.69035369,-79.40932816,"{u'type': u'Point', u'coordinates': (-79.4093249176, 43.6903451077)}"
3920,53,490154,Blacksmith Public School,,EP,Toronto District School Board,45 Blacksmith Cres,English Public,490154,45,Blacksmith Cres,45 Blacksmith Cres,M3N 1V5,North York,Toronto,Blacksmith Elementary School - Building Grounds,102001,30092674,45,,,,4965,302625.908,4847689.881,43.77116395,-79.52681069,"{u'type': u'Point', u'coordinates': (-79.526810687, 43.7711639592)}"
3921,54,774626,Blake St Jr Public School,,EP,Toronto District School Board,21 Boultbee Ave,English Public,774626,21,Boultbee Ave,21 Boultbee Ave,M4J 1A7,former Toronto,Toronto,Blake Street Public School,102001,1141613,21,,,,3038,317809.321,4836663.949,43.67181495,-79.33847947,"{u'type': u'Point', u'coordinates': (-79.3384762501, 43.671806369)}"
3922,55,309574,Blantyre Public School,,EP,Toronto District School Board,290 Blantyre Ave,English Public,309574,290,Blantyre Ave,290 Blantyre Ave,M1N 2S4,Scarborough,Toronto,Blantyre Public School,102001,113172,290,,,,7377,322209.311,4838150.773,43.68510867,-79.28386786,"{u'type': u'Point', u'coordinates': (-79.2838646531, 43.6851000844)}"
3923,56,490361,Blaydon Public School,,EP,Toronto District School Board,25 Blaydon Ave,English Public,490361,25,Blaydon Ave,25 Blaydon Ave,M3M 2C9,North York,Toronto,Blaydon Public School,102001,30085278,25,,,,4974,305891.397,4843711.635,43.73535722,-79.48625614,"{u'type': u'Point', u'coordinates': (-79.4862561391, 43.7353572228)}"
3924,57,2917611,Blessed Archbishop Romero Catholic Secondary School,,ES,Toronto Catholic District School Board,99 Humber Blvd,English Separate,2917611,99,Humber Blvd,99 Humber Blvd,M6N 2H4,York,Toronto,Archbishop Romero Catholic Secondary School - Building Grounds,102002,2884873,99,,,,9746,306332.43,4837598.803,43.68033287,-79.48079682,"{u'type': u'Point', u'coordinates': (-79.4807968138, 43.680332876)}"
3925,58,14258325,Blessed Cardinal Newman Catholic High School,,ES,Toronto Catholic District School Board,100 Brimley Rd S,English Separate,14258325,100,Brimley Rd S,100 Brimley Rd S,M1M 3X4,Scarborough,Toronto,Cardinal Newman Secondary School,102004,30029505,100,,,,10496,325730.073,4841473.944,43.71492226,-79.24006423,"{u'type': u'Point', u'coordinates': (-79.2400642322, 43.7149222658)}"
3926,59,2250071,Blessed Margherita of Citta Di Castello Catholic Elementary School,,ES,Toronto Catholic District School Board,108 Spenvalley Dr,English Separate,2250071,108,Spenvalley Dr,108 Spenvalley Dr,M3L 1Z5,North York,Toronto,Blessed Margherita Of Citta Di Castello C S,102003,30092921,108,,,,6763,304146.907,4844635.35,43.74367247,-79.50791405,"{u'type': u'Point', u'coordinates': (-79.5079140444, 43.7436724725)}"
3927,60,30012333,Blessed Pier Giorgio Frassati Catholic Elementary School,,ES,Toronto Catholic District School Board,8 Seasons Dr,English Separate,30012333,8,Seasons Dr,8 Seasons Dr,M1X 1X4,Scarborough,Toronto,Blessed Pier Giorgio Frassati Catholic School(proposed),102004,30062578,8,,,,16909,326279.547,4854246.616,43.8298752,-79.23273753,"{u'type': u'Point', u'coordinates': (-79.2327375191, 43.8298752035)}"
3928,61,6709986,Blessed Pope Paul VI Catholic Elementary School,,ES,Toronto Catholic District School Board,270 Laughton Ave,English Separate,6709986,270,Laughton Ave,270 Laughton Ave,M6N 2X8,former Toronto,Toronto,Pope Paul Catholic School,102003,6709987,270,,,,3823,308187.521,4836897.338,43.67402149,-79.45779629,"{u'type': u'Point', u'coordinates': (-79.4577930288, 43.6740129018)}"
3929,62,7763002,Blessed Sacrament Catholic Elementary School,,ES,Toronto Catholic District School Board,24 Bedford Park Ave,English Separate,7763002,24,Bedford Park Ave,24 Bedford Park Ave,M5M 1H9,former Toronto,Toronto,Blessed Sacrament Catholic School,102003,14036649,24,,,,2976,312518.664,4842841.106,43.72749021,-79.40400076,"{u'type': u'Point', u'coordinates': (-79.4039975154, 43.7274816104)}"
3930,63,9602629,Blessed Trinity Catholic Elementary School,,ES,Toronto Catholic District School Board,3205 Bayview Ave,English Separate,9602629,3205,Bayview Ave,3205 Bayview Ave,M2K 1G3,North York,Toronto,Blessed Trinity Catholic School,115001,9531471,3205,,,,24,313490.68,4849443.089,43.78690615,-79.39182945,"{u'type': u'Point', u'coordinates': (-79.3918262, 43.7868975436)}"
3931,64,306063,Bliss Carman Sr Public School,,EP,Toronto District School Board,10 Bellamy Rd S,English Public,306063,10,Bellamy Rd S,10 Bellamy Rd S,M1M 3N8,Scarborough,Toronto,Bliss Carman Senior Public School,102001,14245815,10,,,,7314,326888.963,4843447.054,43.73265756,-79.22560507,"{u'type': u'Point', u'coordinates': (-79.2256018786, 43.732648963)}"
3932,65,6710176,Bloor Collegiate Institute,,EP,Toronto District School Board,1141 Bloor St W,English Public,6710176,1141,Bloor St W,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,Bloor Collegiate Institute,102002,6710177,1141,,,,458,309923.333,4835292.483,43.65956601,-79.43628608,"{u'type': u'Point', u'coordinates': (-79.4362828405, 43.6595574312)}"
3933,66,8432037,Bloordale Middle School,,EP,Toronto District School Board,10 Toledo Rd,English Public,8432037,10,Toledo Rd,10 Toledo Rd,M9C 2H3,Etobicoke,Toronto,Bloordale Middle Public School,106007,30009321,10,,,,2640,298979.263,4833025.438,43.63915422,-79.57194982,"{u'type': u'Point', u'coordinates': (-79.5719465301, 43.6391456489)}"
3934,67,8731366,Bloorlea Middle School,,EP,Toronto District School Board,4050 Bloor St W,English Public,8731366,4050,Bloor St W,4050 Bloor St W,M9B 1M5,Etobicoke,Toronto,Bloorlea Middle Public School,102001,8731343,4050,,,,458,300322.095,4832843.912,43.63752946,-79.55530484,"{u'type': u'Point', u'coordinates': (-79.5553015467, 43.6375208832)}"
3935,68,12601205,Bloorview School Authority,,PR,,150 Kilgour Rd,Priv,12601205,150,Kilgour Rd,150 Kilgour Rd,M4G 1R8,North York,Toronto,Bloorview Hugh Macmillan Centre,101001,20079268,150,,,,18055,315020.435,4841836.596,43.71841819,-79.37296622,"{u'type': u'Point', u'coordinates': (-79.3729629876, 43.7184095982)}"
3936,69,10223858,Blue Butterfly Montessori School,,PR,,300 Richmond St W,Priv,10223858,300,Richmond St W,300 Richmond St W,M5V 1X2,former Toronto,Toronto,,115001,10223853,300,,,,4277,313524.011,4834138.048,43.64914145,-79.39166212,"{u'type': u'Point', u'coordinates': (-79.3916588769, 43.6491328652)}"
3937,70,30054504,Blue Gene Education School,,PR,,11A Glen Watford Dr,Priv,30054504,11A,Glen Watford Dr,11A Glen Watford Dr,M1S 2B8,Scarborough,Toronto,,115001,7009470,11,A,,,7984,322843.462,4849437.401,43.7866781,-79.27562105,"{u'type': u'Point', u'coordinates': (-79.2756210517, 43.7866780964)}"
3938,71,30013984,Blyth Academy,,PR,,160 Avenue Rd,Priv,30013984,160,Avenue Rd,160 Avenue Rd,M5R 2H8,former Toronto,Toronto,,112001,14014449,160,,,,2924,313085.443,4837035.256,43.67521651,-79.39705084,"{u'type': u'Point', u'coordinates': (-79.3970508337, 43.6752165091)}"
3939,72,13494887,Blyth Academy School - Downsview Park,,PR,,75 Carl Hall Rd,Priv,13494887,75,Carl Hall Rd,75 Carl Hall Rd,M3K 2B9,North York,Toronto,,110001,30110452,75,,,,11506,306789.92,4845073.478,43.74761375,-79.47509741,"{u'type': u'Point', u'coordinates': (-79.4750974059, 43.7476137521)}"
3940,73,8265336,Blyth Academy School - Etobicoke,,PR,,2489 Bloor St W,Priv,8265336,2489,Bloor St W,2489 Bloor St W,M6S 1R6,former Toronto,Toronto,,115001,8265335,2489,,,,458,305869.631,4833965.864,43.64764041,-79.4865471,"{u'type': u'Point', u'coordinates': (-79.4865438362, 43.6476318295)}"
3941,74,8566068,Blyth Academy School - Lawrence Park,,PR,,2660 Yonge St,Priv,8566068,2660,Yonge St,2660 Yonge St,M4P 2J5,former Toronto,Toronto,,115001,8566053,2660,,,,4733,312794.527,4841567.365,43.71602168,-79.40059538,"{u'type': u'Point', u'coordinates': (-79.4005921361, 43.716013081)}"
3942,75,13502901,Blyth Academy School - Yorkville,,PR,,85 St Nicholas St,Priv,13502901,85,St Nicholas St,85 St Nicholas St,M4Y 1W8,former Toronto,Toronto,,115001,7754192,85,,,,4468,313919.818,4836265.164,43.66828311,-79.38671958,"{u'type': u'Point', u'coordinates': (-79.3867163432, 43.6682745249)}"
3943,76,7754014,Blythwood Jr Public School,,EP,Toronto District School Board,2 Strathgowan Cres,English Public,7754014,2,Strathgowan Cres,2 Strathgowan Cres,M4N 2Z5,former Toronto,Toronto,Blythwood Junior Public School,102001,7754013,2,,,,4499,313687.282,4842003.793,43.71994009,-79.38950895,"{u'type': u'Point', u'coordinates': (-79.3895057084, 43.7199314989)}"
3944,77,9011164,Bnos Bais Yaakov School for Girls,,PR,,2949 Bathurst St,Priv,9011164,2949,Bathurst St,2949 Bathurst St,M6B 3B2,North York,Toronto,,115001,9011161,2949,,,,436,310519.872,4841622.344,43.71653817,-79.4288236,"{u'type': u'Point', u'coordinates': (-79.4288203418, 43.716529583)}"
3945,78,13973547,Bnos Chaya,,PR,,4116 Bathurst St,Priv,13973547,4116,Bathurst St,4116 Bathurst St,M3H 3P2,North York,Toronto,,115001,30093417,4116,,,,436,309891.544,4844942.007,43.74641567,-79.43658692,"{u'type': u'Point', u'coordinates': (-79.436586926, 43.7464156653)}"
3946,79,30113976,Boardwalk Montessori School,,PR,,1975B Queen St E,Priv,30113976,1975B,Queen St E,1975B Queen St E,M4L 1J1,former Toronto,Toronto,,115001,7683440,1975,B,,,4237,320869.568,4836427.24,43.66961633,-79.30053294,"{u'type': u'Point', u'coordinates': (-79.3005329432, 43.6696163293)}"
